time, m1, m2
469, 0.160, 0.820
470, 0.160, 0.820
471, 0.160, 0.820
472, 0.160, 0.820
473, 0.160, 0.820
474, 0.160, 0.820
475, 0.160, 0.820
476, 0.160, 0.820
477, 0.160, 0.820
478, 0.160, 0.820
479, 0.160, 0.820
480, 0.160, 0.820
481, 0.160, 0.820
482, 0.160, 0.820
483, 0.160, 0.820
484, 0.160, 0.820
485, 0.160, 0.820
486, 0.160, 0.820
487, 0.160, 0.820
488, 0.160, 0.820
489, 0.160, 0.820
490, 0.160, 0.820
491, 0.160, 0.820
492, 0.160, 0.820
493, 0.160, 0.820
494, 0.160, 0.820
495, 0.160, 0.820
496, 0.160, 0.820
497, 0.160, 0.820
498, 0.160, 0.820
499, 0.160, 0.820
500, 0.160, 0.820
501, 0.160, 0.820
502, 0.160, 0.820
503, 0.160, 0.820
504, 0.160, 0.820
505, 0.160, 0.820
506, 0.160, 0.820
507, 0.160, 0.820
508, 0.160, 0.820
509, 0.160, 0.820
510, 0.160, 0.820
511, 0.160, 0.820
512, 0.160, 0.820
513, 0.160, 0.820
514, 0.160, 0.820
515, 0.160, 0.820
516, 0.160, 0.820
517, 0.160, 0.820
518, 0.160, 0.820
519, 0.160, 0.820
520, 0.160, 0.820
521, 0.160, 0.820
522, 0.160, 0.820
523, 0.160, 0.820
524, 0.160, 0.820
525, 0.160, 0.820
526, 0.160, 0.820
527, 0.160, 0.820
528, 0.160, 0.820
529, 0.160, 0.820
530, 0.160, 0.820
531, 0.160, 0.820
532, 0.160, 0.820
533, 0.160, 0.820
534, 0.160, 0.820
535, 0.160, 0.820
536, 0.160, 0.820
537, 0.160, 0.820
538, 0.160, 0.820
539, 0.160, 0.820
540, 0.160, 0.820
541, 0.160, 0.820
542, 0.160, 0.820
543, 0.160, 0.820
544, 0.160, 0.820
545, 0.160, 0.820
546, 0.160, 0.820
547, 0.160, 0.820
548, 0.160, 0.820
549, 0.160, 0.820
550, 0.150, 0.830
551, 0.150, 0.830
552, 0.150, 0.830
553, 0.150, 0.830
554, 0.150, 0.830
555, 0.150, 0.830
556, 0.150, 0.830
557, 0.150, 0.830
558, 0.150, 0.830
559, 0.150, 0.830
560, 0.150, 0.830
561, 0.150, 0.830
562, 0.150, 0.830
563, 0.150, 0.830
564, 0.150, 0.830
565, 0.150, 0.830
566, 0.150, 0.830
567, 0.150, 0.830
568, 0.150, 0.830
569, 0.150, 0.830
570, 0.150, 0.830
571, 0.150, 0.830
572, 0.150, 0.830
573, 0.150, 0.830
574, 0.150, 0.830
575, 0.150, 0.830
576, 0.150, 0.830
577, 0.150, 0.830
578, 0.150, 0.830
